variant,model_id,row_term,column_term,covariance_hc1
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","cr(actual_delivery_days, df=4, constraints=""center"")[3]",-0.000625685462586
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]",Intercept,-0.0014359158891
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]",0.00142760924504
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]",0.00142062760607
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]",0.00142672725037
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]",0.00141179111604
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]",0.00143168400626
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]",0.00514722507432
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-07]",0.00142918820833
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-08]",0.00142782037641
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-09]",0.00142848602546
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-10]",0.0014264344609
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-11]",0.0014111868892
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-12]",0.00140151030693
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-02]",0.00140476535
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-03]",0.00140762111032
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-04]",0.00142528152778
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-05]",0.00142784293341
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-06]",0.00143902492712
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-07]",0.00144288591075
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-08]",0.0014526757481
